gameid,team,model_prob_1,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012R1007,Brisbane Lions,0.3630310718763961,Brisbane Lions,West Coast,West Coast,2012-06-03,2012,R10,Gabba,13:10:00,1,1,77.8,8.6,4,95.2,-17.4,-17.6,352.6,201.6,85.4,151.0,11.0,9.4,38.0,69.2,36.0,49.4,33.4,50.8,20.4,18.6,139.8,208.8,6.6,11.0,60.2,4.2,6.8
2012R1008,Western Bulldogs,0.5626166164486976,Sydney,Western Bulldogs,Sydney,2012-06-03,2012,R10,S.C.G.,15:15:00,0,0,85.8,2.32,12,74.4,11.4,29.6,386.8,212.8,79.2,174.0,12.2,10.4,44.2,73.0,31.4,55.2,42.2,40.0,18.2,14.8,156.4,226.8,11.6,9.0,50.2,7.6,7.4
2012R1008,Sydney,0.4297923518791429,Sydney,Western Bulldogs,Western Bulldogs,2012-06-03,2012,R10,S.C.G.,15:15:00,1,1,96.6,5.64,8,81.4,15.2,48.2,347.0,198.2,77.6,148.8,14.2,8.2,32.6,79.8,30.4,56.4,37.0,42.4,19.2,16.0,139.0,204.2,9.6,12.0,51.8,5.8,9.0
2012R1009,Gold Coast,0.142712157531182,Collingwood,Collingwood,Collingwood,2012-06-03,2012,R10,M.C.G.,16:40:00,0,0,70.2,1.64,0,101.0,-30.8,-53.2,355.4,197.4,88.2,158.0,10.0,8.6,33.6,63.6,34.4,42.0,36.6,46.2,12.2,16.6,136.0,220.8,8.6,9.4,56.2,12.0,7.6
2012R1009,Collingwood,0.8534642125361092,Collingwood,Collingwood,Gold Coast,2012-06-03,2012,R10,M.C.G.,16:40:00,1,1,93.0,6.04,20,69.4,23.6,39.0,391.0,226.4,83.2,164.6,13.4,10.6,38.2,68.2,37.2,56.0,41.2,45.0,15.0,17.4,160.4,226.0,9.2,9.6,56.6,12.0,8.2
2012R1101,Carlton,0.4323622174807179,Geelong,Geelong,Geelong,2012-06-08,2012,R11,Docklands,19:50:00,0,1,83.0,2.52,8,87.4,-4.4,1.0,340.6,196.8,78.0,143.8,11.6,10.6,52.2,80.8,30.4,50.8,40.0,44.4,12.6,16.2,146.6,192.0,12.0,12.8,53.8,13.6,7.6
2012R1101,Geelong,0.5600363832688264,Geelong,Geelong,Carlton,2012-06-08,2012,R11,Docklands,19:50:00,1,0,99.2,0.8,12,86.0,13.2,21.6,381.2,218.4,107.2,162.8,14.2,11.6,37.8,64.2,29.6,54.8,34.6,47.0,16.4,17.8,135.4,245.6,12.4,13.8,46.6,10.2,8.8
2012R1102,Fremantle,0.2285593626648485,Fremantle,Richmond,Richmond,2012-06-09,2012,R11,M.C.G.,13:40:00,1,0,72.4,0.64,8,89.6,-17.2,-32.8,357.2,193.6,86.8,163.6,10.4,7.8,48.8,67.6,34.2,44.8,32.2,44.4,17.4,16.8,138.8,220.0,11.0,8.0,45.0,6.2,8.0
2012R1102,Richmond,0.7659448981999291,Fremantle,Richmond,Fremantle,2012-06-09,2012,R11,M.C.G.,13:40:00,0,1,109.8,6.0,16,86.4,23.4,37.8,405.4,218.6,96.2,186.8,16.0,11.2,42.4,61.4,30.2,57.4,36.2,45.8,16.4,17.4,143.2,258.0,10.8,13.0,45.0,13.0,11.2
2012R1103,Gold Coast,0.2000165977432852,St Kilda,St Kilda,St Kilda,2012-06-09,2012,R11,Carrara,16:40:00,0,1,62.0,1.8,0,105.4,-43.4,-83.2,368.0,200.2,92.0,167.8,8.8,7.8,32.6,62.6,35.6,40.6,33.6,47.2,13.4,15.2,133.4,234.2,9.6,9.4,52.6,9.2,7.0
2012R1103,St Kilda,0.7949915912229893,St Kilda,St Kilda,Gold Coast,2012-06-09,2012,R11,Carrara,16:40:00,1,0,105.0,6.840000000000001,8,109.2,-4.2,-4.4,342.8,204.0,84.8,138.8,15.4,10.6,28.4,62.2,29.4,51.2,37.8,48.4,20.8,20.0,134.8,206.4,10.6,13.2,47.0,13.4,9.2
2012R1104,Essendon,0.6384816945873996,Sydney,Essendon,Sydney,2012-06-09,2012,R11,Docklands,19:40:00,0,1,108.2,0.44000000000000006,16,66.8,41.4,71.0,397.6,238.2,104.2,159.4,15.6,11.8,41.2,61.2,36.6,60.2,38.4,45.2,17.6,17.0,148.0,246.0,10.8,12.4,51.2,6.6,9.8
2012R1104,Sydney,0.3544145249952712,Sydney,Essendon,Essendon,2012-06-09,2012,R11,Docklands,19:40:00,1,0,101.8,11.8,8,75.6,26.2,83.4,359.0,205.2,77.0,153.8,15.0,8.2,36.2,74.8,33.0,58.2,40.0,46.6,19.0,17.4,140.2,211.0,8.2,11.2,54.4,7.8,10.0
2012R1105,Port Adelaide,0.2309901512130857,Hawthorn,Hawthorn,Hawthorn,2012-06-10,2012,R11,Football Park,16:10:00,0,1,82.6,2.2399999999999998,12,77.2,5.4,7.4,346.6,195.0,80.0,151.6,12.0,7.6,42.2,72.4,36.4,47.6,40.2,44.6,18.6,16.6,144.2,200.6,8.6,6.8,45.0,11.4,7.4
2012R1105,Hawthorn,0.7634735815833227,Hawthorn,Hawthorn,Port Adelaide,2012-06-10,2012,R11,Football Park,16:10:00,1,0,121.2,6.6,16,79.2,42.0,75.2,388.0,229.8,102.2,158.2,17.4,14.2,38.6,63.6,29.2,61.0,42.4,44.6,17.4,18.6,146.0,242.2,11.8,14.4,50.2,6.2,9.6
2012R1106,Collingwood,0.8425581834589376,Collingwood,Collingwood,Melbourne,2012-06-11,2012,R11,M.C.G.,15:15:00,1,0,106.8,2.4,20,64.0,42.8,76.2,402.2,229.2,90.2,173.0,15.8,10.0,36.6,63.0,34.6,56.2,42.2,44.6,16.0,17.2,158.2,241.8,10.2,11.2,54.0,13.6,10.6
2012R1106,Melbourne,0.1533847543771194,Collingwood,Collingwood,Collingwood,2012-06-11,2012,R11,M.C.G.,15:15:00,0,1,53.8,1.2799999999999998,4,106.2,-52.4,-114.2,330.8,200.0,93.0,130.8,7.2,9.2,44.8,66.4,42.4,43.6,32.4,42.6,16.2,16.2,131.0,196.0,15.2,8.0,53.2,6.6,4.0
2012R1201,Carlton,0.3742064658530177,West Coast,West Coast,West Coast,2012-06-14,2012,R12,Subiaco,17:40:00,0,0,78.0,2.2,4,98.2,-20.2,-33.0,334.8,188.2,67.2,146.6,10.8,10.4,53.6,75.4,31.8,49.0,42.4,46.2,15.6,18.0,147.2,185.6,10.4,10.2,54.6,12.4,6.4
2012R1201,West Coast,0.618527459783092,West Coast,West Coast,Carlton,2012-06-14,2012,R12,Subiaco,17:40:00,1,1,95.4,7.4,12,87.4,8.0,14.6,356.8,216.4,107.4,140.4,13.6,11.4,49.2,59.2,30.2,53.0,38.0,39.2,22.6,14.6,138.0,221.0,15.0,11.2,45.2,12.6,7.8
2012R1202,St Kilda,0.5161194467010104,Adelaide,St Kilda,Adelaide,2012-06-15,2012,R12,Football Park,20:10:00,0,0,116.2,6.92,12,94.4,21.8,42.4,357.6,211.6,89.0,146.0,17.0,12.4,29.8,61.4,27.4,55.2,38.8,45.2,20.8,18.6,134.6,222.2,10.6,14.4,44.6,12.4,10.6
2012R1202,Adelaide,0.4761655212551651,Adelaide,St Kilda,St Kilda,2012-06-15,2012,R12,Football Park,20:10:00,1,1,101.0,1.48,16,75.6,25.4,36.2,349.4,218.4,87.0,131.0,15.2,8.0,50.4,66.0,36.2,47.8,44.6,34.8,17.2,16.0,155.6,190.8,13.8,10.8,49.6,7.2,11.6
2012R1203,Greater Western Sydney,0.1510475476388122,Richmond,Richmond,Richmond,2012-06-16,2012,R12,Sydney Showground,14:10:00,0,1,58.2,0.36,4,110.8,-52.6,-115.6,331.0,189.0,82.4,142.0,8.0,8.6,27.6,66.0,34.0,41.6,35.4,45.6,19.8,18.6,130.0,202.0,7.4,7.6,49.4,11.0,5.6
2012R1203,Richmond,0.8449458878381025,Richmond,Richmond,Greater Western Sydney,2012-06-16,2012,R12,Sydney Showground,14:10:00,1,0,104.8,7.24,12,91.2,13.6,20.4,399.2,219.6,90.2,179.6,15.2,10.8,43.2,66.2,30.4,58.0,36.8,45.6,15.6,17.2,150.6,244.4,11.6,11.2,52.8,10.2,10.8
2012R1204,Gold Coast,0.2012438140424211,North Melbourne,North Melbourne,North Melbourne,2012-06-16,2012,R12,Carrara,19:40:00,0,1,54.4,1.8799999999999997,0,115.4,-61.0,-120.4,348.2,191.6,87.8,156.6,7.4,8.6,31.4,60.0,35.2,38.0,30.6,47.2,13.4,15.4,126.2,220.6,9.6,10.6,52.6,7.8,5.4
2012R1204,North Melbourne,0.7937416439726803,North Melbourne,North Melbourne,Gold Coast,2012-06-16,2012,R12,Carrara,19:40:00,1,0,88.4,4.32,4,117.2,-28.8,-45.6,335.6,192.6,74.4,143.0,13.4,6.6,42.4,64.6,33.0,49.8,38.4,45.8,15.2,21.0,141.8,188.0,11.8,8.4,48.2,10.0,7.0
2012R1205,Hawthorn,0.7551680509084787,Hawthorn,Hawthorn,Brisbane Lions,2012-06-17,2012,R12,M.C.G.,13:10:00,1,1,118.2,6.6,16,74.0,44.2,82.0,385.2,228.0,97.0,157.2,17.0,14.6,38.6,65.6,29.6,61.4,44.2,43.2,16.8,17.8,146.6,236.8,11.6,14.0,45.8,7.6,9.4
2012R1205,Brisbane Lions,0.2391621761089435,Hawthorn,Hawthorn,Hawthorn,2012-06-17,2012,R12,M.C.G.,13:10:00,0,0,90.0,6.2,8,99.4,-9.4,1.4,356.2,201.2,99.0,155.0,13.4,8.0,34.4,63.2,36.8,48.8,33.4,47.4,17.0,18.4,130.4,227.0,8.6,12.2,58.4,4.4,8.0
