gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
2022R1405,2022,R14,17/06/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R1406,2022,R14,17/06/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R1501,2022,R15,24/06/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,Fremantle,0,0,not played yet,0,0,0,0
2022R1502,2022,R15,24/06/2022,MCG,12:00:00 PM,0,Collingwood,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R1503,2022,R15,24/06/2022,MCG,12:00:00 PM,0,Geelong Cats,0,Richmond,0,0,not played yet,0,0,0,0
2022R1504,2022,R15,24/06/2022,MCG,12:00:00 PM,0,Melbourne,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R1505,2022,R15,24/06/2022,Blundstone Arena,12:00:00 PM,0,North Melbourne,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R1506,2022,R15,24/06/2022,SCG,12:00:00 PM,0,Sydney Swans,0,St Kilda,0,0,not played yet,0,0,0,0
2022R1507,2022,R15,24/06/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R1508,2022,R15,24/06/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R1509,2022,R15,24/06/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Essendon,0,0,not played yet,0,0,0,0
2022R1601,2022,R16,1/07/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R1602,2022,R16,1/07/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,St Kilda,0,0,not played yet,0,0,0,0
2022R1603,2022,R16,1/07/2022,MCG,12:00:00 PM,0,Essendon,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R1604,2022,R16,1/07/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R1605,2022,R16,1/07/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Collingwood,0,0,not played yet,0,0,0,0
2022R1606,2022,R16,1/07/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R1607,2022,R16,1/07/2022,MCG,12:00:00 PM,0,Richmond,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R1608,2022,R16,1/07/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,Melbourne,0,0,not played yet,0,0,0,0
2022R1609,2022,R16,1/07/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R1701,2022,R17,8/07/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,Essendon,0,0,not played yet,0,0,0,0
2022R1702,2022,R17,8/07/2022,MCG,12:00:00 PM,0,Collingwood,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R1703,2022,R17,8/07/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Melbourne,0,0,not played yet,0,0,0,0
2022R1704,2022,R17,8/07/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Richmond,0,0,not played yet,0,0,0,0
2022R1705,2022,R17,8/07/2022,Marvel Stadium,12:00:00 PM,0,Hawthorn,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R1706,2022,R17,8/07/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Fremantle,0,0,not played yet,0,0,0,0
2022R1707,2022,R17,8/07/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R1708,2022,R17,8/07/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R1709,2022,R17,8/07/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Carlton,0,0,not played yet,0,0,0,0
2022R1801,2022,R18,15/07/2022,MCG,12:00:00 PM,0,Carlton,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R1802,2022,R18,15/07/2022,Marvel Stadium,12:00:00 PM,0,Essendon,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R1803,2022,R18,15/07/2022,Manuka Oval,12:00:00 PM,0,GWS Giants,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R1804,2022,R18,15/07/2022,MCG,12:00:00 PM,0,Hawthorn,0,West Coast Eagles,0,0,not played yet,0,0,0,0
