team,team2,gameid,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
Gold Coast,Hawthorn,2017R309,2017-04-09,2017,R3,Carrara,16:40:00,1,1,67.2000000000000000,4.4,0,108.0000000000000000,-40.8000000000000000,-74.6,364.4000000000000000,195.6000000000000000,88.6000000000000000,168.8000000000000000,9.2000000000000000,10.0000000000000000,30.4000000000000000,62.8000000000000000,30.2000000000000000,56.4000000000000000,35.2000000000000000,41.8000000000000000,19.8000000000000000,15.6000000000000000,135.4000000000000000,231.0000000000000000,10.2000000000000000,10.2000000000000000,48.6000000000000000,11.8000000000000000,6.2000000000000000
Gold Coast,Port Adelaide,2017R2306,2017-08-26,2017,R23,Adelaide Oval,19:10:00,0,0,65.8000000000000000,0.16,0,106.0000000000000000,-40.2000000000000000,-61.6,350.8000000000000000,201.4000000000000000,92.6000000000000000,149.4000000000000000,9.8000000000000000,5.6000000000000000,38.4000000000000000,55.0000000000000000,35.2000000000000000,41.0000000000000000,32.0000000000000000,56.2000000000000000,19.8000000000000000,20.2000000000000000,130.8000000000000000,219.8000000000000000,7.4000000000000000,8.6000000000000000,44.2000000000000000,6.6000000000000000,6.0000000000000000
Gold Coast,Essendon,2017R2206,2017-08-19,2017,R22,Carrara,19:25:00,0,1,72.0000000000000000,0.16,0,108.6000000000000000,-36.6000000000000000,-53.4,348.0000000000000000,200.2000000000000000,89.2000000000000000,147.8000000000000000,10.6000000000000000,6.8000000000000000,41.6000000000000000,59.4000000000000000,33.6000000000000000,43.8000000000000000,34.8000000000000000,58.4000000000000000,19.8000000000000000,21.2000000000000000,133.8000000000000000,212.8000000000000000,6.6000000000000000,9.0000000000000000,45.6000000000000000,5.4000000000000000,6.4000000000000000
Gold Coast,Brisbane Lions,2017R2104,2017-08-12,2017,R21,Gabba,16:35:00,0,0,65.4000000000000000,0.16,0,103.8000000000000000,-38.4000000000000000,-65.8,352.0000000000000000,205.6000000000000000,93.2000000000000000,146.4000000000000000,9.6000000000000000,6.6000000000000000,44.2000000000000000,61.6000000000000000,35.2000000000000000,42.4000000000000000,33.8000000000000000,57.0000000000000000,18.0000000000000000,19.2000000000000000,133.2000000000000000,214.6000000000000000,5.8000000000000000,8.8000000000000000,45.4000000000000000,5.2000000000000000,5.8000000000000000
Gold Coast,Greater Western Sydney,2017R204,2017-04-01,2017,R2,Sydney Showground,16:35:00,0,0,72.4000000000000000,4.4,0,94.4000000000000000,-22.0000000000000000,-41.4,367.4000000000000000,200.0000000000000000,89.6000000000000000,167.4000000000000000,10.2000000000000000,8.8000000000000000,30.0000000000000000,63.6000000000000000,30.2000000000000000,57.4000000000000000,35.8000000000000000,41.4000000000000000,18.6000000000000000,13.8000000000000000,141.0000000000000000,230.4000000000000000,10.8000000000000000,10.6000000000000000,50.4000000000000000,11.0000000000000000,7.4000000000000000
Gold Coast,Fremantle,2017R2006,2017-08-05,2017,R20,Subiaco,17:40:00,0,0,75.6000000000000000,0,4,105.6000000000000000,-30.0000000000000000,-55.2,355.8000000000000000,207.4000000000000000,92.0000000000000000,148.4000000000000000,11.2000000000000000,7.2000000000000000,45.0000000000000000,66.0000000000000000,37.0000000000000000,44.6000000000000000,38.4000000000000000,58.2000000000000000,18.4000000000000000,18.4000000000000000,134.8000000000000000,217.0000000000000000,6.6000000000000000,9.6000000000000000,48.4000000000000000,6.6000000000000000,7.2000000000000000
Gold Coast,Richmond,2017R1906,2017-07-29,2017,R19,Carrara,19:25:00,0,1,77.0000000000000000,0.04,4,106.6000000000000000,-29.6000000000000000,-53.6,368.4000000000000000,211.2000000000000000,98.4000000000000000,157.2000000000000000,11.2000000000000000,9.0000000000000000,44.6000000000000000,65.2000000000000000,38.4000000000000000,47.6000000000000000,38.8000000000000000,57.2000000000000000,16.2000000000000000,18.2000000000000000,132.6000000000000000,233.6000000000000000,7.2000000000000000,10.2000000000000000,49.4000000000000000,8.2000000000000000,8.0000000000000000
Gold Coast,Western Bulldogs,2017R1804,2017-07-22,2017,R18,Cazaly's Stadium,16:35:00,0,0,80.4000000000000000,0.4,4,101.2000000000000000,-20.8000000000000000,-37.2,363.0000000000000000,208.8000000000000000,89.6000000000000000,154.2000000000000000,11.8000000000000000,9.0000000000000000,44.2000000000000000,68.6000000000000000,37.2000000000000000,48.2000000000000000,39.0000000000000000,55.0000000000000000,17.2000000000000000,17.6000000000000000,136.8000000000000000,223.0000000000000000,7.2000000000000000,10.0000000000000000,50.0000000000000000,8.2000000000000000,8.8000000000000000
Gold Coast,Collingwood,2017R1704,2017-07-15,2017,R17,Carrara,16:35:00,0,1,81.8000000000000000,0.4,8,96.4000000000000000,-14.6000000000000000,-29.8,381.4000000000000000,213.8000000000000000,96.2000000000000000,167.6000000000000000,11.8000000000000000,10.2000000000000000,46.0000000000000000,68.4000000000000000,35.2000000000000000,49.2000000000000000,38.8000000000000000,50.0000000000000000,16.2000000000000000,16.0000000000000000,138.4000000000000000,243.6000000000000000,7.8000000000000000,11.8000000000000000,48.0000000000000000,8.8000000000000000,9.2000000000000000
Gold Coast,Sydney,2017R1604,2017-07-08,2017,R16,S.C.G.,16:35:00,0,0,87.6000000000000000,0.4,12,88.2000000000000000,-0.60000000000000000000,-2.8,395.2000000000000000,218.0000000000000000,100.2000000000000000,177.2000000000000000,12.6000000000000000,11.0000000000000000,44.0000000000000000,68.6000000000000000,36.4000000000000000,50.2000000000000000,38.0000000000000000,50.4000000000000000,16.2000000000000000,16.4000000000000000,138.8000000000000000,258.8000000000000000,9.2000000000000000,12.2000000000000000,48.4000000000000000,10.6000000000000000,9.8000000000000000
