gameid,team,model_prob_1,model_prob_2,model_odds_1,model_odds_2,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012R1203,Greater Western Sydney,0.1510475476388122,0.8489524523611878,6.620431881431264,1.1779222702269183,Richmond,Richmond,Richmond,2012-06-16,2012,R12,Sydney Showground,14:10:00,0,1,58.2,0.36,4,110.8,-52.6,-115.6,331.0,189.0,82.4,142.0,8.0,8.6,27.6,66.0,34.0,41.6,35.4,45.6,19.8,18.6,130.0,202.0,7.4,7.6,49.4,11.0,5.6
2012R1204,Gold Coast,0.2012438140424211,0.7987561859575789,4.969096837874507,1.251946485774207,North Melbourne,North Melbourne,North Melbourne,2012-06-16,2012,R12,Carrara,19:40:00,0,1,54.4,1.8799999999999997,0,115.4,-61.0,-120.4,348.2,191.6,87.8,156.6,7.4,8.6,31.4,60.0,35.2,38.0,30.6,47.2,13.4,15.4,126.2,220.6,9.6,10.6,52.6,7.8,5.4
2012R1205,Hawthorn,0.7551680509084787,0.2448319490915212,1.3242085636395564,4.0844342566835,Hawthorn,Hawthorn,Brisbane Lions,2012-06-17,2012,R12,M.C.G.,13:10:00,1,1,118.2,6.6,16,74.0,44.2,82.0,385.2,228.0,97.0,157.2,17.0,14.6,38.6,65.6,29.6,61.4,44.2,43.2,16.8,17.8,146.6,236.8,11.6,14.0,45.8,7.6,9.4
2012R1206,Western Bulldogs,0.6233425171307491,0.3766574828692509,1.6042544388003703,2.654931988559829,Western Bulldogs,Western Bulldogs,Port Adelaide,2012-06-17,2012,R12,Docklands,16:40:00,1,1,73.0,8.48,8,88.4,-15.4,-30.0,368.0,209.2,69.2,158.8,10.2,10.0,47.2,69.0,33.4,52.6,43.0,40.8,17.8,13.2,162.2,200.0,11.4,7.6,52.0,6.6,5.6
2012R1301,Sydney,0.5212915826261091,0.4787084173738909,1.918312194803344,2.088954285545723,Sydney,Sydney,Geelong,2012-06-22,2012,R13,S.C.G.,19:50:00,1,1,100.2,13.040000000000001,12,72.2,28.0,85.4,370.0,206.8,78.4,163.2,14.8,8.2,37.6,73.0,39.8,54.8,38.0,49.6,16.8,19.0,139.2,223.2,7.8,11.4,56.2,12.4,10.4
2012R1302,Western Bulldogs,0.6856827216702437,0.3143172783297563,1.4584004648157325,3.181498660569594,Brisbane Lions,Western Bulldogs,Brisbane Lions,2012-06-23,2012,R13,Docklands,13:40:00,0,1,76.6,7.88,12,80.2,-3.6,-11.2,372.6,217.4,75.8,155.2,10.6,11.4,44.0,68.2,32.6,54.2,42.8,43.0,17.6,15.2,163.0,205.4,12.6,9.6,49.8,7.0,6.2
2012R1303,Collingwood,0.6637848462157678,0.3362151537842321,1.5065122467031178,2.9742859259751135,Collingwood,Collingwood,West Coast,2012-06-23,2012,R13,M.C.G.,16:40:00,1,1,113.0,1.6,20,66.0,47.0,80.4,404.0,233.0,97.0,171.0,16.6,11.2,37.6,61.4,33.4,56.2,41.6,43.0,17.4,16.6,155.2,247.4,11.0,11.8,52.6,14.6,11.2
2012R1304,Fremantle,0.1839622331508133,0.8160377668491867,5.435898351919843,1.22543347945906,Essendon,Essendon,Essendon,2012-06-23,2012,R13,Subiaco,17:40:00,0,1,69.2,1.8800000000000001,8,85.4,-16.2,-30.8,352.0,194.0,81.2,158.0,10.0,7.8,49.2,77.2,37.2,42.4,33.6,45.2,18.4,17.6,143.6,207.8,11.2,8.0,49.0,5.4,8.0
2012R1305,Melbourne,0.544067382383708,0.455932617616292,1.8380076298982058,2.1933065575088757,Melbourne,Melbourne,Greater Western Sydney,2012-06-24,2012,R13,M.C.G.,15:15:00,1,1,56.0,1.2799999999999998,4,108.2,-52.2,-112.4,328.4,198.2,94.2,130.2,7.6,9.0,42.0,67.2,41.0,43.4,32.4,45.4,16.6,17.4,131.0,195.4,14.6,8.8,53.2,7.6,4.2
2012R1306,North Melbourne,0.3961523393348637,0.6038476606651363,2.5242814460694367,1.6560468229660825,North Melbourne,Adelaide,Adelaide,2012-06-24,2012,R13,Docklands,16:40:00,1,1,86.8,2.2399999999999998,8,109.2,-22.4,-38.6,343.2,199.6,79.6,143.6,12.6,8.8,42.0,65.4,33.2,54.0,38.8,43.4,15.0,19.4,140.8,196.6,11.0,9.8,49.6,10.6,6.8
